,country,official name,2020/4/16 CFR,2020/6/16 CFR,2020/8/16 CFR,2020/10/16 CFR,2020/12/16 CFR,2021/2/16 CFR,2021/4/16 CFR,2021/6/16 CFR,continent,population,population density,median age,aged 65 older,aged 70 older,life expectancy,HAQ,DALYs rate from COPD,DALYs rate from CVD,DALYs rate from DM,DALYs rate from PNEU,DALYs rate from air pollution,DALYs rate from tobacco use,DALYs rate from low physical activity,2018 GDP
0,Afghanistan,Afghanistan,0.0357,0.0189,0.0366,0.0371,0.0409,0.0437,0.044,0.0395,Asia,38928341.0,54.422,18.6,2.581,1.337,64.83,32.5,360.230584953917,4753.72082988971,660.642999043366,2149.51359491479,4830.95364361511,1635.23093126809,286.182376495864,67594970923.0
1,Albania,Albania,0.0502,0.0221,0.0309,0.0269,0.0205,0.0167,0.0181,0.0185,Europe,2877800.0,104.871,38.0,13.188,8.643,78.57,78.2,462.96442123262,8133.50033594593,584.944651228892,249.198467341597,1771.28479109591,4267.50567568512,179.028940334511,34009113045.0
2,Algeria,Algeria,0.1534,0.0709,0.0355,0.0341,0.0281,0.0265,0.0264,0.0268,Africa,43851043.0,17.348,29.1,6.211,3.857,76.88,63.7,354.269981235289,4907.4645022344,839.783813339963,250.260303456152,1564.62362077592,1897.73063275127,469.859694949605,590317549399.0
3,Andorra,Andorra,0.049,0.0609,0.0536,0.0175,0.0106,0.0101,0.0097,0.0092,Europe,77265.0,163.755,,,,83.73,94.6,862.147311814586,3145.01173737844,722.868902666847,135.605842900668,341.496533667859,3540.7878449233,260.386175734636,
4,Angola,Angola,0.1053,0.0452,0.0462,0.0324,0.0231,0.0242,0.0232,0.0228,Africa,32866268.0,23.89,16.8,2.405,1.362,61.15,40.7,273.843760889775,2458.38955994999,602.691642151079,1553.60749841175,2388.74203967562,1086.82687223726,71.5145679000384,175929578042.0
5,Antigua and Barbuda,Antigua and Barbuda,0.1304,0.1154,0.0323,0.0268,0.0331,0.0203,0.0256,0.0333,North America,97928.0,231.845,32.1,6.933,4.631,77.02,66.7,192.661659990263,4557.02884298609,2328.13401364477,441.202029689347,926.880415858314,1386.62151586878,448.580760378356,
6,Argentina,Argentina,0.0447,0.0257,0.0194,0.0266,0.0273,0.0248,0.0222,0.0208,South America,45195777.0,16.177,31.9,11.198,7.441,76.67,68.4,740.049118159538,4132.75764287784,941.248963110958,746.660764023746,711.911719151291,3236.45719304007,41.0332772290156,829373254831.0
7,Armenia,Armenia,0.0155,0.0168,0.0196,0.0172,0.017,0.0186,0.0185,0.02,Asia,2963234.0,102.931,35.7,11.232,7.571,75.09,67.5,762.731676118767,8011.75968315448,1551.18872192252,332.046748299649,2471.16578698253,4853.35190079432,298.971304993085,33296515550.0
8,Australia,Australia,0.0097,0.0138,0.0179,0.033,0.0323,0.0314,0.0308,0.03,Oceania,25499881.0,3.202,37.9,15.504,10.129,83.44,89.8,859.363496090423,3202.75374042125,759.229806006671,93.7850799896379,168.635468466397,2204.23511215956,289.7801339493,1238559648720.0
9,Austria,Austria,0.0283,0.0399,0.0312,0.0144,0.0144,0.0189,0.0167,0.0164,Europe,9006400.0,106.749,44.4,19.202,13.748,81.54,88.2,789.267054577404,5105.29542222131,998.575458713191,113.65508763706,588.101821897034,3678.89271368131,345.926855798674,382269444360.0
10,Azerbaijan,Azerbaijan,0.0117,0.0121,0.0148,0.0142,0.0109,0.0137,0.0138,0.0148,Asia,10139175.0,119.309,32.4,6.018,3.871,73.0,64.5,428.691821792351,8975.80991499417,1064.28107747492,772.992759745535,2399.29869211824,4416.59132537274,227.378130377458,160426221651.0
11,Bahamas,Bahamas,0.1509,0.1058,0.0137,0.0207,0.0213,0.0213,0.0201,0.0196,North America,393248.0,39.497,34.3,8.996,5.2,73.92,,226.644399995768,5437.46740847788,1774.61226979362,338.56736788305,840.906202188877,1488.35041991541,392.501422351824,
12,Bahrain,Bahrain,0.0041,0.0024,0.0036,0.0038,0.0039,0.0036,0.0036,0.0048,Asia,1701583.0,1935.907,32.4,2.372,1.387,77.29,79.0,278.259338612482,2519.56548583808,2230.7938732344,85.8726572140254,1533.84253630258,1676.28770992354,536.552592752374,62559305437.0
13,Bangladesh,Bangladesh,0.0382,0.0132,0.0132,0.0146,0.0144,0.0153,0.0143,0.0159,Asia,164689383.0,1265.036,27.5,5.098,3.262,72.59,51.7,908.388548427534,4691.69662792822,775.468459895414,530.747793405951,3393.18385934662,2257.77922546359,129.102344188937,686521749313.0
14,Barbados,Barbados,0.0667,0.0722,0.0464,0.032,0.0233,0.0107,0.0117,0.0116,North America,287371.0,664.463,39.8,14.952,9.473,79.19,66.8,283.280240672554,5565.82352268326,3106.21071889658,476.699897094392,1387.04448345103,1555.99857591873,763.262967176369,3516161102.0
15,Belarus,Belarus,0.0095,0.0058,0.0088,0.0107,0.0078,0.0069,0.007,0.0074,Europe,9449321.0,46.858,40.3,14.799,9.788,74.79,74.4,549.878997277881,14217.1184713181,485.984582236401,214.902551327618,1950.89417161932,6343.3893645022,466.70105031081,178435259131.0
16,Belgium,Belgium,0.1395,0.1606,0.1269,0.0512,0.0297,0.0293,0.0251,0.0233,Europe,11589616.0,375.564,41.8,18.571,12.849,81.63,87.9,1251.72618462186,4194.99985870772,888.786877529356,295.401949807317,660.936334255491,4193.07063708044,353.929758441097,454384314205.0
17,Belize,Belize,0.1111,0.0909,0.0066,0.0158,0.0219,0.0257,0.0254,0.0252,North America,397621.0,16.426,25.0,3.853,2.279,74.62,58.3,311.140334460925,2715.13671151518,1422.09415609839,504.669510406833,962.227504637067,1172.06804963489,260.149481797369,
18,Benin,Benin,0.0286,0.0157,0.0189,0.0164,0.014,0.0123,0.0125,0.0126,Africa,12123198.0,99.11,18.8,3.244,1.942,61.77,43.0,296.204977647306,2449.21160406033,484.655489356961,2953.39896580891,5429.12455560554,707.358557185384,58.5978973226616,26682033535.0
19,Bhutan,Bhutan,,,,,,0.0012,0.0011,0.0005,Asia,771612.0,21.188,28.6,4.885,2.977,71.78,52.7,1349.41796554573,3649.35715410847,787.25298121094,578.306685195796,2528.06643462948,1368.63680034382,188.250959132445,
20,Bolivia,Bolivia,0.0658,0.0328,0.0404,0.0605,0.0609,0.0474,0.0439,0.0382,South America,11673029.0,10.202,25.4,6.704,4.393,71.51,59.2,396.23287086986,2891.22325218762,1041.58180642067,1159.22976447483,1628.38672657816,891.820975676702,104.877584936585,75704710887.0
21,Bosnia and Herzegovina,Bosnia and Herzegovina,0.0369,0.0535,0.0298,0.0298,0.034,0.039,0.0412,0.0469,Europe,3280815.0,68.496,42.5,16.569,10.711,77.4,78.2,769.915828262914,9951.31839059819,2411.60650439138,148.77188154135,3204.32058691087,7364.05440778523,379.661096184518,41286323313.0
22,Botswana,Botswana,0.0667,0.0127,0.0025,0.0038,0.0029,0.0088,0.0152,0.0151,Africa,2351625.0,4.044,25.8,3.941,2.242,69.59,51.1,571.06915901105,3940.52432635263,1465.03109686776,1748.8319095479,2627.26103901355,2653.225554328,178.000757779287,35844341352.0
23,Brazil,Brazil,0.0632,0.0487,0.0323,0.0295,0.0261,0.0243,0.0267,0.028,South America,212559409.0,25.04,33.5,8.552,5.06,75.88,64.9,661.855832390795,4089.91261468052,1183.49289116031,520.151469829039,786.819620149039,2381.53382724077,485.367448325923,2965401452085.0
24,Brunei,Brunei Darussalam,0.0073,0.0213,0.0211,0.0204,0.0197,0.0163,0.0136,0.012,Asia,437483.0,81.347,32.4,4.591,2.382,75.86,70.0,409.778155960053,3148.12549453408,1830.5359118082,321.002520989744,317.035829356978,2155.26499327777,235.739476896629,
25,Bulgaria,Bulgaria,0.0475,0.052,0.0347,0.0336,0.0333,0.0418,0.0392,0.0427,Europe,6948445.0,65.18,44.7,20.801,13.272,75.05,71.4,989.057490321768,19258.2673261777,1561.4273044914,337.3817734796,3335.85759471975,8890.20931570557,510.930744595169,132183449574.0
26,Burkina Faso,Burkina Faso,0.0586,0.0589,0.0434,0.0277,0.0164,0.0119,0.0118,0.0124,Africa,20903278.0,70.151,17.6,2.409,1.358,61.58,42.9,243.030337007926,2725.23742854466,530.2478433938,5260.62320822805,7349.2212802247,847.926210312859,33.1184223834364,31315025032.0
27,Burundi,Burundi,0.2,0.0096,0.0024,0.0019,0.0014,0.0016,0.0017,0.0016,Africa,11890781.0,423.062,17.5,2.562,1.504,61.58,40.4,402.179410277204,2633.2768430728,489.691294526642,1893.45767910765,4639.5059707271,912.636974082796,19.9303158085414,7314109088.0
28,Cambodia,Cambodia,,,,,,,0.0069,0.0092,Asia,16718971.0,90.672,25.6,4.412,2.385,69.82,50.7,569.699428105505,4425.78871558923,927.598348886954,1589.99241114909,3635.20488454855,3386.73638663049,84.9393144969195,59541851604.0
29,Cameroon,Cameroon,0.0221,0.028,0.0217,0.0197,0.0175,0.0149,0.0149,0.0164,Africa,26545864.0,50.885,18.8,3.165,1.919,59.29,44.4,321.063927319572,2564.30934557809,634.440454598753,2033.34691382063,3878.23207461386,822.528983286086,76.1949785985896,76168245066.0
30,Canada,Canada,0.0558,0.0842,0.0734,0.0499,0.0287,0.0256,0.0211,0.0184,North America,37742157.0,4.037,41.4,16.984,10.797,82.43,87.6,887.28377585942,3840.64936643018,842.909157628383,145.035552312115,252.384022336909,3378.19544754323,243.678555306162,1669401514253.0
31,Cape Verde,Cabo Verde,0.0179,0.0088,0.011,0.0109,0.0096,0.0095,0.0095,0.0088,Africa,555988.0,135.58,25.7,4.46,3.437,72.98,61.7,377.47209768159,3765.68689511678,840.626183544533,800.050742936042,1969.81912042346,987.517137444233,124.271620823348,3882678732.0
32,Central African Republic,Central African Republic,,0.007,0.0131,0.0128,0.0128,0.0126,0.0131,0.0138,Africa,4829764.0,7.479,18.3,3.655,2.251,53.28,28.6,507.237772121123,4142.95337526777,865.073438262407,4274.64927565344,8318.54805255961,1705.66093056518,96.1028486535682,3581982387.0
33,Chad,Chad,,0.0866,0.0795,0.0683,0.0567,0.0355,0.0358,0.0352,Africa,16425859.0,11.833,16.7,2.486,1.446,54.24,37.7,292.105248665368,2442.89192560754,421.776940822474,5682.53843184315,8315.69141789408,1040.27430991135,37.3654085432344,31212918297.0
34,Chile,Chile,0.0114,0.0164,0.0271,0.0277,0.0277,0.0251,0.0225,0.0207,South America,19116209.0,24.282,35.4,11.087,6.938,80.18,76.0,457.133321291855,3073.3973537143,978.106008234264,210.500098395407,826.467338220334,2111.39643885682,147.652362745846,412833627887.0
35,China,China,0.0406,0.0556,0.0546,0.0541,0.0534,0.0516,0.0512,0.0506,Asia,1439323774.0,147.674,38.7,10.641,5.929,76.91,74.2,1400.70598935435,6463.46502758847,696.040772834189,178.043575719782,2988.69409872314,4507.74994214284,176.265998029378,18151620437216.0
36,Colombia,Colombia,0.0445,0.0327,0.0322,0.0303,0.0272,0.0263,0.0258,0.0255,South America,50882884.0,44.223,32.2,7.646,4.312,77.29,67.8,596.182021704157,2819.80424857372,1000.59587687203,277.547072046287,881.204553945781,1154.78072495118,116.184003236105,651900563305.0
37,Comoros,Comoros,,0.0152,0.0173,0.0139,0.0111,0.0392,0.0383,0.0374,Africa,869595.0,437.352,20.4,2.963,1.726,64.32,47.7,433.7389281972,3754.96146907647,738.440342195751,,3535.38602636313,1328.51813096109,29.2155257314309,1416032118.0
38,Congo,Congo,0.0427,0.0306,0.0198,0.0178,0.0161,0.0146,0.0138,0.0132,Africa,5518092.0,15.405,19.0,3.402,2.063,64.57,43.5,401.253118920741,3583.4813643028,911.648995980867,918.402697054572,2597.25373219463,1072.180722552,139.580426992823,29513591100.0
39,Costa Rica,Costa Rica,0.0062,0.0064,0.0103,0.0124,0.0127,0.0136,0.0134,0.0128,North America,5094114.0,96.079,33.6,9.468,5.694,80.28,72.9,427.447113844841,2770.84268087526,994.084428238081,178.688349225504,632.869452264237,1318.53502790312,65.0366573519601,73336988552.0
40,Cote d'Ivoire,Cote d'Ivoire,0.0092,0.0079,0.0065,0.006,0.0061,0.0057,0.006,0.0064,Africa,26378275.0,76.399,18.7,2.933,1.582,57.78,42.4,,,,,,,,102581662691.0
41,Croatia,Croatia,0.0195,0.0474,0.0253,0.0146,0.0157,0.0225,0.0214,0.0227,Europe,4105268.0,73.726,44.0,19.724,13.053,78.49,81.6,903.246426471134,8884.88040175822,1421.02763664017,142.71878926371,1626.8849073562,6102.2344370367,351.114893448569,84978688360.0
42,Cuba,Cuba,0.0313,0.0368,0.0265,0.0203,0.0142,0.0069,0.0055,0.0069,North America,11326616.0,110.408,43.1,14.738,9.719,78.8,73.5,822.374702878065,6136.47496930478,1437.8822775166,606.400936346376,1259.84318101978,4639.43797646619,565.923373197054,92551014481.0
43,Cyprus,Cyprus,0.0163,0.0183,0.0149,0.0105,0.0053,0.0069,0.0052,0.0051,Europe,875899.0,127.657,37.3,13.416,8.563,80.98,85.3,667.027354424472,4025.15555241867,1231.75872342002,88.4473539956413,749.227839828093,3345.13292607449,276.841510384773,27790155429.0
44,Czechia,Czechia,0.0263,0.0328,0.0198,0.008,0.0166,0.0168,0.0177,0.0182,Europe,10708982.0,137.176,43.3,19.027,11.58,79.38,84.8,846.741076823711,7662.7760171675,1966.48371525532,331.494388189565,1373.8421187987,5320.37358825784,430.513795757327,326100315851.0
45,Democratic Republic of Congo,Democratic Republic of the Congo,0.0824,0.0225,0.0248,0.0274,0.0244,0.0285,0.0258,0.0237,Africa,89561404.0,35.879,17.0,3.02,1.745,60.68,40.4,416.01778350422,2751.0545527223,600.897163036984,1492.32117641303,3504.05422357384,705.742114879549,77.1406197185082,81846381646.0
46,Denmark,Denmark,0.0454,0.0479,0.0388,0.0194,0.0081,0.0112,0.0101,0.0087,Europe,5792203.0,136.52,42.3,19.677,12.325,80.9,85.7,1559.36484199598,3929.408691401,849.482562260612,227.761697573292,489.853896762058,4908.03723513578,283.269250695148,268317624889.0
47,Djibouti,Djibouti,0.0034,0.0095,0.011,0.0112,0.0106,0.0105,0.0106,0.0133,Africa,988002.0,41.285,25.4,4.213,2.38,67.11,44.7,282.866061613977,2979.3025976478,679.998564714851,1732.01639920503,2561.35035944493,1728.24181603925,29.501599774346,2913438473.0
48,Dominican Republic,Dominican Republic,0.0522,0.0263,0.0168,0.0182,0.0151,0.0129,0.0131,0.012,North America,10847904.0,222.873,27.6,6.981,4.419,74.08,62.5,287.84129308797,5546.1765842915,1077.82203822313,373.561466538725,1332.90268499186,2116.22065518993,473.252970513051,165255139275.0
49,Ecuador,Ecuador,0.049,0.0826,0.0598,0.0815,0.0684,0.0574,0.0492,0.0479,South America,17643060.0,66.939,28.1,7.104,4.458,77.01,61.2,263.208333613824,2586.07232552134,1046.72199877746,497.60491925655,776.164933191806,812.297378835049,126.686416830476,175524677190.0
50,Egypt,Egypt,0.0733,0.0376,0.0535,0.058,0.0568,0.0577,0.0589,0.0572,Africa,102334403.0,97.999,25.3,5.159,2.891,71.99,61.0,504.142449516367,7120.8678126738,915.580399851001,657.251997505995,2878.93192575552,2894.67835127967,578.839696074724,1221832614741.0
